numStations=1
Station 0:rit
numEvents=5
Access Number: 0            Sta # 0 Nom         Lower           Upper       
2020-03-03T14:19:34.649     437.00620048     437.00619220    437.00620874
2020-03-03T14:19:44.649     437.00591323     437.00590424    437.00592219
2020-03-03T14:19:54.649     437.00560184     437.00559212    437.00561155
2020-03-03T14:20:04.649     437.00526514     437.00525464    437.00527562
2020-03-03T14:20:14.649     437.00490215     437.00489085    437.00491343
2020-03-03T14:20:24.649     437.00451226     437.00450015    437.00452435
2020-03-03T14:20:34.649     437.00409527     437.00408235    437.00410818
2020-03-03T14:20:44.649     437.00365153     437.00363782    437.00366523
2020-03-03T14:20:54.649     437.00318202     437.00316755    437.00319646
2020-03-03T14:21:04.649     437.00268843     437.00267327    437.00270357
2020-03-03T14:21:14.649     437.00217323     437.00215747    437.00218897
2020-03-03T14:21:24.649     437.00163964     437.00162339    437.00165588
2020-03-03T14:21:34.649     437.00109160     437.00107499    437.00110821
2020-03-03T14:21:44.649     437.00053366     437.00051682    437.00055050
2020-03-03T14:21:54.649     436.99997078     436.99995387    436.99998769
2020-03-03T14:22:04.649     436.99940815     436.99939133    436.99942497
2020-03-03T14:22:14.649     436.99885096     436.99883438    436.99886755
2020-03-03T14:22:24.649     436.99830414     436.99828794    436.99832035
2020-03-03T14:22:34.649     436.99777218     436.99775649    436.99778788
2020-03-03T14:22:44.649     436.99725895     436.99724387    436.99727404
2020-03-03T14:22:54.649     436.99676760     436.99675322    436.99678200
2020-03-03T14:23:04.649     436.99630052     436.99628690    436.99631416
2020-03-03T14:23:14.649     436.99585933     436.99584650    436.99587217
2020-03-03T14:23:24.649     436.99544494     436.99543293    436.99545698
2020-03-03T14:23:34.649     436.99505764     436.99504644    436.99506887
2020-03-03T14:23:44.649     436.99469720     436.99468679    436.99470763
2020-03-03T14:23:54.649     436.99436294     436.99435331    436.99437260
2020-03-03T14:24:04.649     436.99405389     436.99404500    436.99406281
2020-03-03T14:24:14.649     436.99376883     436.99376064    436.99377705
2020-03-03T14:24:24.649     436.99350642     436.99349888    436.99351398
2020-03-03T14:24:34.649     436.99326521     436.99325829    436.99327215
2020-03-03T14:24:44.649     436.99304375     436.99303739    436.99305012
2020-03-03T14:24:54.649     436.99284058     436.99283475    436.99284642
2020-03-03T14:25:04.649     436.99265430     436.99264896    436.99265965
2020-03-03T14:25:14.649     436.99248356     436.99247867    436.99248847
2020-03-03T14:25:24.649     436.99232710     436.99232261    436.99233160
2020-03-03T14:25:34.649     436.99218373     436.99217962    436.99218785
2020-03-03T14:25:44.649     436.99205234     436.99204857    436.99205612
2020-03-03T14:25:54.649     436.99193193     436.99192847    436.99193539
2020-03-03T14:26:04.649     436.99182155     436.99181839    436.99182472
2020-03-03T14:26:14.649     436.99172036     436.99171746    436.99172327
2020-03-03T14:26:24.649     436.99162758     436.99162492    436.99163025
2020-03-03T14:26:34.649     436.99154251     436.99154007    436.99154495
2020-03-03T14:26:44.649     436.99146449     436.99146225    436.99146673
2020-03-03T14:26:54.649     436.99139294     436.99139089    436.99139500
2020-03-03T14:27:04.649     436.99132735     436.99132546    436.99132923
2020-03-03T14:27:14.649     436.99126721     436.99126549    436.99126894
2020-03-03T14:27:24.649     436.99121211     436.99121053    436.99121369
2020-03-03T14:27:34.649     436.99116163     436.99116019    436.99116309
2020-03-03T14:27:44.649     436.99111544     436.99111412    436.99111677
2020-03-03T14:27:54.649     436.99107320     436.99107199    436.99107441
2020-03-03T14:28:04.649     436.99103462     436.99103351    436.99103572
2020-03-03T14:28:14.649     436.99099942     436.99099842    436.99100043
2020-03-03T14:28:24.649     436.99096737     436.99096646    436.99096829
2020-03-03T14:28:34.649     436.99093825     436.99093742    436.99093908
2020-03-03T14:28:44.649     436.99091185     436.99091109    436.99091260
2020-03-03T14:28:54.649     436.99088798     436.99088730    436.99088866
2020-03-03T14:29:04.649     436.99086649     436.99086588    436.99086710
2020-03-03T14:29:14.649     436.99084721     436.99084667    436.99084776
2020-03-03T14:29:24.649     436.99083002     436.99082953    436.99083050
2020-03-03T14:29:34.649     436.99081476     436.99081434    436.99081520
2020-03-03T14:29:44.649     436.99080135     436.99080097    436.99080172
2020-03-03T14:29:54.649     436.99078965     436.99078932    436.99078998
2020-03-03T14:30:04.649     436.99077958     436.99077930    436.99077986
2020-03-03T14:30:14.649     436.99077104     436.99077080    436.99077127
2020-03-03T14:30:24.649     436.99076395     436.99076375    436.99076414
2020-03-03T14:30:34.649     436.99075823     436.99075808    436.99075838
2020-03-03T14:30:44.649     436.99075381     436.99075370    436.99075392
2020-03-03T14:30:54.649     436.99075063     436.99075055    436.99075070
2020-03-03T14:31:04.649     436.99074862     436.99074857    436.99074866
2020-03-03T14:31:14.649     436.99074772     436.99074771    436.99074773
2020-03-03T14:31:24.649     436.99074790     436.99074788    436.99074792
2020-03-03T14:31:34.649     436.99074909     436.99074904    436.99074914
2020-03-03T14:31:44.649     436.99075125     436.99075117    436.99075133
2020-03-03T14:31:54.649     436.99075435     436.99075424    436.99075445
Access Number: 2            Sta # 0 Nom         Lower           Upper       
2020-03-03T15:54:47.072     437.00922479     437.00922369    437.00922588
2020-03-03T15:54:57.072     437.00918626     437.00918504    437.00918747
2020-03-03T15:55:07.072     437.00914345     437.00914210    437.00914480
2020-03-03T15:55:17.072     437.00909593     437.00909443    437.00909743
2020-03-03T15:55:27.072     437.00904321     437.00904154    437.00904487
2020-03-03T15:55:37.072     437.00898472     437.00898287    437.00898657
2020-03-03T15:55:47.072     437.00891986     437.00891780    437.00892190
2020-03-03T15:55:57.072     437.00884789     437.00884561    437.00885016
2020-03-03T15:56:07.072     437.00876802     437.00876549    437.00877054
2020-03-03T15:56:17.072     437.00867932     437.00867651    437.00868212
2020-03-03T15:56:27.072     437.00858075     437.00857763    437.00858386
2020-03-03T15:56:37.072     437.00847113     437.00846765    437.00847459
2020-03-03T15:56:47.072     437.00834910     437.00834523    437.00835295
2020-03-03T15:56:57.072     437.00821314     437.00820883    437.00821744
2020-03-03T15:57:07.072     437.00806152     437.00805671    437.00806632
2020-03-03T15:57:17.072     437.00789230     437.00788693    437.00789765
2020-03-03T15:57:27.072     437.00770329     437.00769729    437.00770927
2020-03-03T15:57:37.072     437.00749206     437.00748535    437.00749874
2020-03-03T15:57:47.072     437.00725593     437.00724844    437.00726341
2020-03-03T15:57:57.072     437.00699201     437.00698363    437.00700036
2020-03-03T15:58:07.072     437.00669718     437.00668783    437.00670651
2020-03-03T15:58:17.072     437.00636822     437.00635779    437.00637862
2020-03-03T15:58:27.072     437.00600191     437.00599031    437.00601347
2020-03-03T15:58:37.072     437.00559516     437.00558231    437.00560798
2020-03-03T15:58:47.072     437.00514533     437.00513115    437.00515947
2020-03-03T15:58:57.072     437.00465045     437.00463490    437.00466597
2020-03-03T15:59:07.072     437.00410964     437.00409271    437.00412653
2020-03-03T15:59:17.072     437.00352346     437.00350520    437.00354169
2020-03-03T15:59:27.072     437.00289434     437.00287484    437.00291380
2020-03-03T15:59:37.072     437.00222679     437.00220623    437.00224732
2020-03-03T15:59:47.072     437.00152755     437.00150617    437.00154891
2020-03-03T15:59:57.072     437.00080542     437.00078351    437.00082732
2020-03-03T16:00:07.072     437.00007083     437.00004872    437.00009294
2020-03-03T16:00:17.072     436.99933513     436.99931317    436.99935711
2020-03-03T16:00:27.072     436.99860978     436.99858829    436.99863128
2020-03-03T16:00:37.072     436.99790542     436.99788472    436.99792615
2020-03-03T16:00:47.072     436.99723123     436.99721155    436.99725094
2020-03-03T16:00:57.072     436.99659434     436.99657587    436.99661285
2020-03-03T16:01:07.072     436.99599971     436.99598256    436.99601690
2020-03-03T16:01:17.072     436.99545013     436.99543435    436.99546595
2020-03-03T16:01:27.072     436.99494650     436.99493210    436.99496095
2020-03-03T16:01:37.072     436.99448819     436.99447513    436.99450130
2020-03-03T16:01:47.072     436.99407341     436.99406162    436.99408525
2020-03-03T16:01:57.072     436.99369961     436.99368900    436.99371026
2020-03-03T16:02:07.072     436.99336377     436.99335425    436.99337333
2020-03-03T16:02:17.072     436.99306269     436.99305416    436.99307125
2020-03-03T16:02:27.072     436.99279312     436.99278549    436.99280078
2020-03-03T16:02:37.072     436.99255194     436.99254511    436.99255879
2020-03-03T16:02:47.072     436.99233618     436.99233007    436.99234231
2020-03-03T16:02:57.072     436.99214314     436.99213768    436.99214863
2020-03-03T16:03:07.072     436.99197034     436.99196544    436.99197525
2020-03-03T16:03:17.072     436.99181553     436.99181115    436.99181994
2020-03-03T16:03:27.072     436.99167675     436.99167281    436.99168069
2020-03-03T16:03:37.072     436.99155220     436.99154867    436.99155575
2020-03-03T16:03:47.072     436.99144034     436.99143717    436.99144353
2020-03-03T16:03:57.072     436.99133978     436.99133692    436.99134264
2020-03-03T16:04:07.072     436.99124930     436.99124673    436.99125188
2020-03-03T16:04:17.072     436.99116784     436.99116553    436.99117016
2020-03-03T16:04:27.072     436.99109445     436.99109237    436.99109655
2020-03-03T16:04:37.072     436.99102831     436.99102643    436.99103020
2020-03-03T16:04:47.072     436.99096868     436.99096698    436.99097038
2020-03-03T16:04:57.072     436.99091492     436.99091339    436.99091646
2020-03-03T16:05:07.072     436.99086647     436.99086509    436.99086785
2020-03-03T16:05:17.072     436.99082282     436.99082158    436.99082406
2020-03-03T16:05:27.072     436.99078353     436.99078241    436.99078464
2020-03-03T16:05:37.072     436.99074820     436.99074720    436.99074920
2020-03-03T16:05:47.072     436.99071649     436.99071559    436.99071739
2020-03-03T16:05:57.072     436.99068808     436.99068727    436.99068888
2020-03-03T16:06:07.072     436.99066270     436.99066198    436.99066342
2020-03-03T16:06:17.072     436.99064010     436.99063946    436.99064074
2020-03-03T16:06:27.072     436.99062006     436.99061949    436.99062062
2020-03-03T16:06:37.072     436.99060238     436.99060188    436.99060288
2020-03-03T16:06:47.072     436.99058688     436.99058645    436.99058732
2020-03-03T16:06:57.072     436.99057341     436.99057304    436.99057379
2020-03-03T16:07:07.072     436.99056182     436.99056150    436.99056214
2020-03-03T16:07:17.072     436.99055198     436.99055171    436.99055225
2020-03-03T16:07:27.072     436.99054377     436.99054355    436.99054399
2020-03-03T16:07:37.072     436.99053709     436.99053691    436.99053727
2020-03-03T16:07:47.072     436.99053184     436.99053170    436.99053197
2020-03-03T16:07:57.072     436.99052793     436.99052783    436.99052803
2020-03-03T16:08:07.072     436.99052528     436.99052522    436.99052535
2020-03-03T16:08:17.072     436.99052383     436.99052381    436.99052386
2020-03-03T16:08:27.072     436.99052350     436.99052350    436.99052351
2020-03-03T16:08:37.072     436.99052424     436.99052420    436.99052428
2020-03-03T16:08:47.072     436.99052598     436.99052592    436.99052605
2020-03-03T16:08:57.072     436.99052869     436.99052859    436.99052878
2020-03-03T16:09:07.072     436.99053231     436.99053218    436.99053243
2020-03-03T16:09:17.072     436.99053679     436.99053665    436.99053694
2020-03-03T16:09:27.072     436.99054211     436.99054194    436.99054228
2020-03-03T16:09:37.072     436.99054822     436.99054802    436.99054841
2020-03-03T16:09:47.072     436.99055509     436.99055487    436.99055531
2020-03-03T16:09:57.072     436.99056269     436.99056245    436.99056293
2020-03-03T16:10:07.072     436.99057099     436.99057073    436.99057125
2020-03-03T16:10:17.072     436.99057997     436.99057969    436.99058025
2020-03-03T16:10:27.072     436.99058960     436.99058930    436.99058989
Access Number: 3            Sta # 0 Nom         Lower           Upper       
2020-03-03T17:33:15.807     437.00884667     437.00884497    437.00884837
2020-03-03T17:33:25.807     437.00878743     437.00878557    437.00878929
2020-03-03T17:33:35.807     437.00872248     437.00872044    437.00872451
2020-03-03T17:33:45.807     437.00865127     437.00864903    437.00865350
2020-03-03T17:33:55.807     437.00857320     437.00857074    437.00857565
2020-03-03T17:34:05.807     437.00848760     437.00848490    437.00849028
2020-03-03T17:34:15.807     437.00839371     437.00839076    437.00839666
2020-03-03T17:34:25.807     437.00829072     437.00828748    437.00829395
2020-03-03T17:34:35.807     437.00817770     437.00817414    437.00818125
2020-03-03T17:34:45.807     437.00805362     437.00804972    437.00805752
2020-03-03T17:34:55.807     437.00791737     437.00791308    437.00792164
2020-03-03T17:35:05.807     437.00776768     437.00776297    437.00777238
2020-03-03T17:35:15.807     437.00760322     437.00759804    437.00760838
2020-03-03T17:35:25.807     437.00742248     437.00741679    437.00742816
2020-03-03T17:35:35.807     437.00722388     437.00721763    437.00723011
2020-03-03T17:35:45.807     437.00700570     437.00699883    437.00701254
2020-03-03T17:35:55.807     437.00676613     437.00675859    437.00677364
2020-03-03T17:36:05.807     437.00650330     437.00649503    437.00651154
2020-03-03T17:36:15.807     437.00621532     437.00620627    437.00622434
2020-03-03T17:36:25.807     437.00590033     437.00589045    437.00591019
2020-03-03T17:36:35.807     437.00555661     437.00554584    437.00556735
2020-03-03T17:36:45.807     437.00518264     437.00517094    437.00519431
2020-03-03T17:36:55.807     437.00477726     437.00476460    437.00478989
2020-03-03T17:37:05.807     437.00433983     437.00432621    437.00435342
2020-03-03T17:37:15.807     437.00387035     437.00385577    437.00388489
2020-03-03T17:37:25.807     437.00336966     437.00335417    437.00338512
2020-03-03T17:37:35.807     437.00283954     437.00282321    437.00285585
2020-03-03T17:37:45.807     437.00228285     437.00226578    437.00229991
2020-03-03T17:37:55.807     437.00170353     437.00168585    437.00172119
2020-03-03T17:38:05.807     437.00110652     437.00108839    437.00112463
2020-03-03T17:38:15.807     437.00049765     437.00047927    437.00051603
2020-03-03T17:38:25.807     436.99988336     436.99986492    436.99990180
2020-03-03T17:38:35.807     436.99927037     436.99925207    436.99928868
2020-03-03T17:38:45.807     436.99866534     436.99864738    436.99868331
2020-03-03T17:38:55.807     436.99807451     436.99805706    436.99809197
2020-03-03T17:39:05.807     436.99750338     436.99748660    436.99752018
2020-03-03T17:39:15.807     436.99695654     436.99694055    436.99697256
2020-03-03T17:39:25.807     436.99643751     436.99642240    436.99645265
2020-03-03T17:39:35.807     436.99594872     436.99593455    436.99596293
2020-03-03T17:39:45.807     436.99549159     436.99547837    436.99550484
2020-03-03T17:39:55.807     436.99506660     436.99505435    436.99507889
2020-03-03T17:40:05.807     436.99467350     436.99466220    436.99468484
2020-03-03T17:40:15.807     436.99431142     436.99430103    436.99432185
2020-03-03T17:40:25.807     436.99397906     436.99396953    436.99398861
2020-03-03T17:40:35.807     436.99367480     436.99366609    436.99368353
2020-03-03T17:40:45.807     436.99339685     436.99338890    436.99340482
2020-03-03T17:40:55.807     436.99314333     436.99313608    436.99315060
2020-03-03T17:41:05.807     436.99291235     436.99290575    436.99291897
2020-03-03T17:41:15.807     436.99270206     436.99269605    436.99270809
2020-03-03T17:41:25.807     436.99251069     436.99250522    436.99251617
2020-03-03T17:41:35.807     436.99233656     436.99233159    436.99234155
2020-03-03T17:41:45.807     436.99217812     436.99217360    436.99218266
2020-03-03T17:41:55.807     436.99203394     436.99202982    436.99203807
2020-03-03T17:42:05.807     436.99190269     436.99189894    436.99190645
2020-03-03T17:42:15.807     436.99178317     436.99177976    436.99178660
2020-03-03T17:42:25.807     436.99167431     436.99167120    436.99167743
2020-03-03T17:42:35.807     436.99157512     436.99157228    436.99157796
2020-03-03T17:42:45.807     436.99148471     436.99148212    436.99148730
2020-03-03T17:42:55.807     436.99140228     436.99139993    436.99140465
2020-03-03T17:43:05.807     436.99132713     436.99132498    436.99132928
2020-03-03T17:43:15.807     436.99125859     436.99125663    436.99126055
2020-03-03T17:43:25.807     436.99119610     436.99119431    436.99119789
2020-03-03T17:43:35.807     436.99113912     436.99113749    436.99114076
2020-03-03T17:43:45.807     436.99108720     436.99108572    436.99108869
2020-03-03T17:43:55.807     436.99103992     436.99103857    436.99104127
2020-03-03T17:44:05.807     436.99099689     436.99099566    436.99099812
2020-03-03T17:44:15.807     436.99095776     436.99095665    436.99095888
2020-03-03T17:44:25.807     436.99092225     436.99092123    436.99092326
2020-03-03T17:44:35.807     436.99089006     436.99088914    436.99089098
2020-03-03T17:44:45.807     436.99086094     436.99086011    436.99086177
2020-03-03T17:44:55.807     436.99083468     436.99083393    436.99083542
2020-03-03T17:45:05.807     436.99081105     436.99081038    436.99081172
2020-03-03T17:45:15.807     436.99078988     436.99078929    436.99079049
2020-03-03T17:45:25.807     436.99077100     436.99077047    436.99077154
2020-03-03T17:45:35.807     436.99075426     436.99075379    436.99075473
2020-03-03T17:45:45.807     436.99073951     436.99073909    436.99073992
2020-03-03T17:45:55.807     436.99072662     436.99072626    436.99072698
2020-03-03T17:46:05.807     436.99071549     436.99071518    436.99071580
2020-03-03T17:46:15.807     436.99070599     436.99070573    436.99070626
2020-03-03T17:46:25.807     436.99069805     436.99069783    436.99069826
2020-03-03T17:46:35.807     436.99069156     436.99069139    436.99069173
2020-03-03T17:46:45.807     436.99068645     436.99068631    436.99068658
2020-03-03T17:46:55.807     436.99068264     436.99068254    436.99068273
2020-03-03T17:47:05.807     436.99068006     436.99068000    436.99068012
2020-03-03T17:47:15.807     436.99067865     436.99067862    436.99067867
2020-03-03T17:47:25.807     436.99067834     436.99067834    436.99067835
2020-03-03T17:47:35.807     436.99067910     436.99067906    436.99067914
2020-03-03T17:47:45.807     436.99068086     436.99068080    436.99068093
2020-03-03T17:47:55.807     436.99068359     436.99068349    436.99068368
2020-03-03T17:48:05.807     436.99068723     436.99068710    436.99068735
2020-03-03T17:48:15.807     436.99069175     436.99069160    436.99069190
2020-03-03T17:48:25.807     436.99069711     436.99069694    436.99069728
2020-03-03T17:48:35.807     436.99070328     436.99070308    436.99070347
Access Number: 4            Sta # 0 Nom         Lower           Upper       
2020-03-03T19:12:33.389     437.00660852     437.00660382    437.00661321
2020-03-03T19:12:43.389     437.00644719     437.00644220    437.00645217
2020-03-03T19:12:53.389     437.00627592     437.00627062    437.00628120
2020-03-03T19:13:03.389     437.00609424     437.00608862    437.00609984
2020-03-03T19:13:13.389     437.00590170     437.00589575    437.00590764
2020-03-03T19:13:23.389     437.00569788     437.00569159    437.00570416
2020-03-03T19:13:33.389     437.00548238     437.00547573    437.00548902
2020-03-03T19:13:43.389     437.00525483     437.00524782    437.00526184
2020-03-03T19:13:53.389     437.00501495     437.00500756    437.00502233
2020-03-03T19:14:03.389     437.00476250     437.00475473    437.00477026
2020-03-03T19:14:13.389     437.00449733     437.00448918    437.00450547
2020-03-03T19:14:23.389     437.00421941     437.00421087    437.00422793
2020-03-03T19:14:33.389     437.00392879     437.00391988    437.00393770
2020-03-03T19:14:43.389     437.00362570     437.00361642    437.00363497
2020-03-03T19:14:53.389     437.00331048     437.00330084    437.00332011
2020-03-03T19:15:03.389     437.00298364     437.00297366    437.00299361
2020-03-03T19:15:13.389     437.00264586     437.00263557    437.00265615
2020-03-03T19:15:23.389     437.00229798     437.00228740    437.00230856
2020-03-03T19:15:33.389     437.00194103     437.00193019    437.00195186
2020-03-03T19:15:43.389     437.00157617     437.00156511    437.00158721
2020-03-03T19:15:53.389     437.00120473     437.00119350    437.00121596
2020-03-03T19:16:03.389     437.00082818     437.00081682    437.00083953
2020-03-03T19:16:13.389     437.00044806     437.00043662    437.00045950
2020-03-03T19:16:23.389     437.00006603     437.00005456    437.00007750
2020-03-03T19:16:33.389     436.99968375     436.99967230    436.99969521
2020-03-03T19:16:43.389     436.99930291     436.99929152    436.99931430
2020-03-03T19:16:53.389     436.99892515     436.99891389    436.99893643
2020-03-03T19:17:03.389     436.99855208     436.99854097    436.99856319
2020-03-03T19:17:13.389     436.99818517     436.99817427    436.99819607
2020-03-03T19:17:23.389     436.99782580     436.99781515    436.99783646
2020-03-03T19:17:33.389     436.99747519     436.99746482    436.99748557
2020-03-03T19:17:43.389     436.99713441     436.99712435    436.99714448
2020-03-03T19:17:53.389     436.99680436     436.99679463    436.99681409
2020-03-03T19:18:03.389     436.99648576     436.99647639    436.99649515
2020-03-03T19:18:13.389     436.99617918     436.99617017    436.99618820
2020-03-03T19:18:23.389     436.99588502     436.99587639    436.99589366
2020-03-03T19:18:33.389     436.99560352     436.99559527    436.99561178
2020-03-03T19:18:43.389     436.99533479     436.99532693    436.99534267
2020-03-03T19:18:53.389     436.99507883     436.99507135    436.99508633
2020-03-03T19:19:03.389     436.99483552     436.99482841    436.99484264
2020-03-03T19:19:13.389     436.99460465     436.99459791    436.99461140
2020-03-03T19:19:23.389     436.99438594     436.99437956    436.99439233
2020-03-03T19:19:33.389     436.99417905     436.99417302    436.99418509
2020-03-03T19:19:43.389     436.99398359     436.99397789    436.99398929
2020-03-03T19:19:53.389     436.99379913     436.99379377    436.99380451
2020-03-03T19:20:03.389     436.99362525     436.99362019    436.99363031
2020-03-03T19:20:13.389     436.99346146     436.99345670    436.99346623
2020-03-03T19:20:23.389     436.99330731     436.99330283    436.99331180
2020-03-03T19:20:33.389     436.99316233     436.99315812    436.99316655
2020-03-03T19:20:43.389     436.99302606     436.99302210    436.99303003
2020-03-03T19:20:53.389     436.99289804     436.99289433    436.99290177
2020-03-03T19:21:03.389     436.99277784     436.99277435    436.99278133
2020-03-03T19:21:13.389     436.99266502     436.99266175    436.99266830
2020-03-03T19:21:23.389     436.99255918     436.99255611    436.99256226
2020-03-03T19:21:33.389     436.99245993     436.99245705    436.99246281
2020-03-03T19:21:43.389     436.99236689     436.99236419    436.99236960
2020-03-03T19:21:53.389     436.99227971     436.99227718    436.99228225
2020-03-03T19:22:03.389     436.99219806     436.99219569    436.99220043
2020-03-03T19:22:13.389     436.99212161     436.99211940    436.99212383
2020-03-03T19:22:23.389     436.99205007     436.99204800    436.99205215
2020-03-03T19:22:33.389     436.99198316     436.99198123    436.99198511
2020-03-03T19:22:43.389     436.99192062     436.99191881    436.99192243
2020-03-03T19:22:53.389     436.99186219     436.99186049    436.99186388
2020-03-03T19:23:03.389     436.99180764     436.99180606    436.99180922
2020-03-03T19:23:13.389     436.99175675     436.99175528    436.99175823
2020-03-03T19:23:23.389     436.99170933     436.99170796    436.99171071
2020-03-03T19:23:33.389     436.99166518     436.99166390    436.99166646
2020-03-03T19:23:43.389     436.99162412     436.99162293    436.99162531
